exp_id,model,params,cv_mean,cv_std,fold_scores,note,decision
M1b_linear_top20,Linear-OLS (top-20),"{""k"": 20, ""solver"": ""lstsq"", ""cols"": [""OverallQual"", ""GrLivArea"", ""GarageCars"", ""GarageArea"", ""TotalBsmtSF"", ""1stFlrSF"", ""FullBath"", ""YearBuilt"", ""YearRemodAdd"", ""GarageYrBlt"", ""TotRmsAbvGrd"", ""Fireplaces"", ""MasVnrArea"", ""BsmtFinSF1"", ""LotFrontage"", ""WoodDeckSF"", ""OpenPorchSF"", ""2ndFlrSF"", ""HalfBath"", ""LotArea""]}",0.13556,0.01097,"[0.14741, 0.12858, 0.14354, 0.14068, 0.1176]",ablation: chi 20 bien so manh nhat,"giữ full 302 đặc trưng, chờ M1 đối chứng"
M0_mean,Baseline-mean,{},0.39604,0.01831,"[0.39872, 0.40295, 0.3968, 0.41885, 0.36288]",mốc sàn,"mốc sàn, loại"
M0_median,Baseline-median,{},0.39699,0.01782,"[0.3977, 0.40226, 0.40237, 0.41838, 0.36422]",mốc sàn,"mốc sàn, loại"
M2_ridge_l0.001_scr,Ridge-screen,"{""l2"": 0.001}",0.14753,0.0,[0.14753],screening fold0,loại (screening)
M2_ridge_l0.01_scr,Ridge-screen,"{""l2"": 0.01}",0.12681,0.0,[0.12681],screening fold0,loại (screening)
M2_ridge_l0.1_scr,Ridge-screen,"{""l2"": 0.1}",0.12449,0.0,[0.12449],screening fold0,loại (screening)
M2_ridge_l1_scr,Ridge-screen,"{""l2"": 1.0}",0.11979,0.0,[0.11979],screening fold0,loại (screening)
M2_ridge_l10_scr,Ridge-screen,"{""l2"": 10.0}",0.11834,0.0,[0.11834],screening fold0,loại (screening)
M2_ridge_l100_scr,Ridge-screen,"{""l2"": 100.0}",0.12234,0.0,[0.12234],screening fold0,loại (screening)
M2_ridge_l1000_scr,Ridge-screen,"{""l2"": 1000.0}",0.14157,0.0,[0.14157],screening fold0,loại (screening)
M2_ridge_l10,Ridge,"{""l2"": 10.0}",0.11193,0.00794,"[0.11834, 0.11357, 0.11558, 0.11583, 0.09634]",refine 5-fold,giữ → ensemble (vô địch GĐ2a)
M2_ridge_l1,Ridge,"{""l2"": 1.0}",0.1156,0.00709,"[0.11979, 0.12055, 0.11659, 0.11938, 0.10168]",refine 5-fold,dự phòng
M1_linear_full,Linear-OLS (full),"{""solver"": ""solve""}",0.12826,0.01044,"[0.12849, 0.14282, 0.12304, 0.13486, 0.11207]",full 302 đặc trưng,"giữ làm mốc, chờ ensemble"
M3_enet_a1.0_l1e-05_scr,ElasticNet-screen,"{""alpha"": 1.0, ""l2"": 1e-05}",0.12496,0.0,[0.12496],screening fold0,loại (screening)
M3_enet_a1.0_l0.0001_scr,ElasticNet-screen,"{""alpha"": 1.0, ""l2"": 0.0001}",0.13062,0.0,[0.13062],screening fold0,loại (screening)
M3_enet_a1.0_l0.001_scr,ElasticNet-screen,"{""alpha"": 1.0, ""l2"": 0.001}",0.14398,0.0,[0.14398],screening fold0,loại (screening)
M3_enet_a0.5_l1e-05_scr,ElasticNet-screen,"{""alpha"": 0.5, ""l2"": 1e-05}",0.12797,0.0,[0.12797],screening fold0,loại (screening)
M3_enet_a0.5_l0.0001_scr,ElasticNet-screen,"{""alpha"": 0.5, ""l2"": 0.0001}",0.12779,0.0,[0.12779],screening fold0,loại (screening)
M3_enet_a0.5_l0.001_scr,ElasticNet-screen,"{""alpha"": 0.5, ""l2"": 0.001}",0.14227,0.0,[0.14227],screening fold0,loại (screening)
M3_enet_a0.2_l1e-05_scr,ElasticNet-screen,"{""alpha"": 0.2, ""l2"": 1e-05}",0.12659,0.0,[0.12659],screening fold0,loại (screening)
M3_enet_a0.2_l0.0001_scr,ElasticNet-screen,"{""alpha"": 0.2, ""l2"": 0.0001}",0.12935,0.0,[0.12935],screening fold0,loại (screening)
M3_enet_a0.2_l0.001_scr,ElasticNet-screen,"{""alpha"": 0.2, ""l2"": 0.001}",0.13286,0.0,[0.13286],screening fold0,loại (screening)
M3_enet_a1.0_l1e-05,ElasticNet,"{""alpha"": 1.0, ""l2"": 1e-05}",0.12392,0.01058,"[0.12709, 0.1261, 0.12211, 0.13851, 0.1058]",refine 5-fold,dự phòng
M3_enet_a0.2_l1e-05,ElasticNet,"{""alpha"": 0.2, ""l2"": 1e-05}",0.12389,0.01054,"[0.12702, 0.12601, 0.12222, 0.13842, 0.10579]",refine 5-fold,giữ → ensemble
M4_mlp_h64_lr0.01_do0.0_scr,MLP1-screen,"{""h"": 64, ""lr"": 0.01, ""do"": 0.0}",0.1296,0.0,[0.1296],screening fold0,loại (screening)
M4_mlp_h64_lr0.01_do0.1_scr,MLP1-screen,"{""h"": 64, ""lr"": 0.01, ""do"": 0.1}",0.14094,0.0,[0.14094],screening fold0,loại (screening)
M4_mlp_h64_lr0.003_do0.0_scr,MLP1-screen,"{""h"": 64, ""lr"": 0.003, ""do"": 0.0}",0.12883,0.0,[0.12883],screening fold0,loại (screening)
M4_mlp_h64_lr0.003_do0.1_scr,MLP1-screen,"{""h"": 64, ""lr"": 0.003, ""do"": 0.1}",0.1477,0.0,[0.1477],screening fold0,loại (screening)
M4_mlp_h128_lr0.01_do0.0_scr,MLP1-screen,"{""h"": 128, ""lr"": 0.01, ""do"": 0.0}",0.13168,0.0,[0.13168],screening fold0,loại (screening)
M4_mlp_h128_lr0.01_do0.1_scr,MLP1-screen,"{""h"": 128, ""lr"": 0.01, ""do"": 0.1}",0.13666,0.0,[0.13666],screening fold0,loại (screening)
M4_mlp_h128_lr0.003_do0.0_scr,MLP1-screen,"{""h"": 128, ""lr"": 0.003, ""do"": 0.0}",0.12867,0.0,[0.12867],screening fold0,loại (screening)
M4_mlp_h128_lr0.003_do0.1_scr,MLP1-screen,"{""h"": 128, ""lr"": 0.003, ""do"": 0.1}",0.13176,0.0,[0.13176],screening fold0,loại (screening)
M4_mlp_h128_lr0.003_do0.0,MLP1,"{""h"": 128, ""lr"": 0.003, ""do"": 0.0}",0.12591,0.00987,"[0.13011, 0.12652, 0.12168, 0.14064, 0.1106]",refine 5-fold,dự phòng
M4_mlp_h64_lr0.003_do0.0,MLP1,"{""h"": 64, ""lr"": 0.003, ""do"": 0.0}",0.1252,0.0102,"[0.12616, 0.12917, 0.1232, 0.13947, 0.108]",refine 5-fold,giữ → ensemble
M5_mlp_a128x64_do0.1_bn0_scr,MLPdeep-screen,"{""arch"": [128, 64], ""do"": 0.1, ""bn"": false}",0.15892,0.0,[0.15892],screening fold0,loại (screening)
M5_mlp_a128x64_do0.1_bn1_scr,MLPdeep-screen,"{""arch"": [128, 64], ""do"": 0.1, ""bn"": true}",0.4899,0.0,[0.4899],screening fold0,loại (screening)
M5_mlp_a128x64_do0.2_bn0_scr,MLPdeep-screen,"{""arch"": [128, 64], ""do"": 0.2, ""bn"": false}",0.17514,0.0,[0.17514],screening fold0,loại (screening)
M5_mlp_a128x64_do0.2_bn1_scr,MLPdeep-screen,"{""arch"": [128, 64], ""do"": 0.2, ""bn"": true}",0.49242,0.0,[0.49242],screening fold0,loại (screening)
M5_mlp_a128x128_do0.1_bn0_scr,MLPdeep-screen,"{""arch"": [128, 128], ""do"": 0.1, ""bn"": false}",0.1536,0.0,[0.1536],screening fold0,loại (screening)
